accession_number,title,description,provenance,section,image_file,page_number,has_description,has_provenance,has_section,has_image,data_quality
1991.13.19,Ceremonial sword (ada),Ceremonial sword (ada),,,page_153.png,153.0,True,False,False,True,2
1991.13.18,Ceremonial sword (ada),Ceremonial sword (ada),,,page_152.png,152.0,True,False,False,True,2
1909.61.1,Bronze imitation of a,Bronze imitation of a,William John Ansorge,2.6,page_107.png,107.0,True,True,True,True,4
1966.1.636,,,,,page_010.png,10.0,False,False,False,True,1
1899.50.3,,,,,page_010.png,10.0,False,False,False,True,1
1991.13.12,Bronze armlet,Bronze armlet,,,page_146.png,146.0,True,False,False,True,2
1992.20.1,,,,,page_190.png,190.0,False,False,False,True,1
1991.13.15,Bronze armlet,Bronze armlet,,,page_149.png,149.0,True,False,False,True,2
1900.39.1.27.1,,,Mary Henrietta Kingsley,2.3,page_016.png,16.0,False,True,True,True,3
1991.13.26,Ivory armlet inlaid with brass,Ivory armlet inlaid with brass,,,page_160.png,160.0,True,False,False,True,2
1991.13.17.1,Ceremonial sword (ada),Ceremonial sword (ada),,,page_151.png,151.0,True,False,False,True,2
1991.13.23,Gilded bronze cone-shaped hip ornament,Gilded bronze cone-shaped hip ornament,,,page_157.png,157.0,True,False,False,True,2
1901.53.8,Bronze pellet bell,Bronze pellet bell,,,page_095.png,95.0,True,False,False,True,2
1991.13.27.1,,,,,page_161.png,161.0,False,False,False,True,1
1901.53.6,Bronze pellet bell,Bronze pellet bell,,,page_093.png,93.0,True,False,False,True,2
1917.38.1,Bronze bell,Bronze bell,Beatrice Braithwaite Batty,2.14,page_115.png,115.0,True,True,True,True,4
1991.13.24,Gilded bronze cone-shaped hip ornament,Gilded bronze cone-shaped hip ornament,,,page_158.png,158.0,True,False,False,True,2
1979.8.1,Wooden stool with,Wooden stool with,Reginald Kerr Granville,2.2,page_129.png,129.0,True,True,True,True,4
1938.34.94,Ivory side-blast trumpet,Ivory side-blast trumpet,Thomas William Taphouse,2.18,page_119.png,119.0,True,True,True,True,4
1900.1.1,,,,,page_175.png,175.0,False,False,False,True,1
1913.48.99,,,,,page_009.png,9.0,False,False,False,True,1
1938.31.27,,,,,page_186.png,186.0,False,False,False,True,1
1923.2.1,,,,,page_186.png,186.0,False,False,False,True,1
1975.7.1,Bronze figure of a man,Bronze figure of a man,,,page_127.png,127.0,True,False,False,True,2
1914.1.2,,,,,page_010.png,10.0,False,False,False,True,1
1983.25.1,Brass hip-ornament,Brass hip-ornament,Harold Mordley Douglas,2.11,page_131.png,131.0,True,True,True,True,4
1991.13.13,Bronze armlet,Bronze armlet,,,page_147.png,147.0,True,False,False,True,2
1988.11.2,Wooden comb,Wooden comb,,,page_135.png,135.0,True,False,False,True,2
1991.13.25,Bronze altarpiece with figures of the Queen Mother with six attendants,Bronze altarpiece with figures of the Queen Mother with six attendants,,,page_159.png,159.0,True,False,False,True,2
1991.13.5,Ivory commemorative head with eyes inlaid with bronze,Ivory commemorative head with eyes inlaid with bronze,,,page_138.png,138.0,True,False,False,True,2
1941.2.119,Bronze Bell,Bronze Bell,Cranmore Ethnographical Museum,2.9,page_122.png,122.0,True,True,True,True,4
1901.56.2,Bronze pendant from a,Bronze pendant from a,,,page_099.png,99.0,True,False,False,True,2
1991.13.34,Bronze armlet,Bronze armlet,,,page_165.png,165.0,True,False,False,True,2
1991.13.38,Wooden lid covered with decorated bronze sheet,Wooden lid covered with decorated bronze sheet,,,page_169.png,169.0,True,False,False,True,2
