"source_image","candidate_image","phash_distance","dhash_distance","edge_distance","visual_distance","orb_keypoints_source","orb_keypoints_candidate","orb_good_matches","orb_inlier_matches","orb_score","combined_score","match_band"
"C:\Users\ron\Documents\project\images\fig_328.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png","20","19","31","22.5","1392","2382","6","4","0.00287","77.78736","weak"
"C:\Users\ron\Documents\project\images\fig_184.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1938.34.94_1.png","22","19","26","22.25","2349","2240","2","0","0.0","77.75","weak"
"C:\Users\ron\Documents\project\images\fig_362.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.24.png","22","22","24","22.5","1635","2500","9","4","0.00245","77.74465","weak"
"C:\Users\ron\Documents\project\images\fig_365.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1975.7.2_1.png","28","24","10","22.5","1737","2500","12","4","0.0023","77.73028","weak"
"C:\Users\ron\Documents\project\images\fig_047h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1970.16.1.png","18","23","31","22.5","2292","2500","8","4","0.00175","77.67452","weak"
"C:\Users\ron\Documents\project\images\fig_304h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.21.png","18","27","27","22.5","2407","2500","11","4","0.00166","77.66618","weak"
"C:\Users\ron\Documents\project\images\fig_047.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1970.16.1.png","18","24","31","22.75","1088","2500","4","4","0.00368","77.61765","weak"
"C:\Users\ron\Documents\project\images\fig_340.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2.png","24","21","22","22.75","1146","2476","18","4","0.00349","77.59904","weak"
"C:\Users\ron\Documents\project\images\fig_295h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1983.25.1.png","20","19","31","22.5","2211","2500","9","2","0.0009","77.59046","weak"
"C:\Users\ron\Documents\project\images\fig_341.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1938.34.94_1.png","18","24","31","22.75","1461","2240","6","4","0.00274","77.52379","weak"
"C:\Users\ron\Documents\project\images\fig_186.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1965.9.1.png","20","5","45","22.5","1133","2500","3","0","0.0","77.5","weak"
"C:\Users\ron\Documents\project\images\fig_298.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.8.png","22","22","26","23.0","1257","2500","12","6","0.00477","77.47733","weak"
"C:\Users\ron\Documents\project\images\fig_354.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png","24","19","24","22.75","932","2382","13","2","0.00215","77.46459","weak"
"C:\Users\ron\Documents\project\images\fig_354h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png","24","19","24","22.75","2393","2382","15","5","0.0021","77.45991","weak"
"C:\Users\ron\Documents\project\images\fig_013h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1983.25.1.png","22","21","26","22.75","2469","2500","15","5","0.00203","77.45251","weak"
"C:\Users\ron\Documents\project\images\fig_349.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1970.16.1.png","18","21","34","22.75","2267","2500","9","4","0.00176","77.42644","weak"
"C:\Users\ron\Documents\project\images\fig_134h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.3.png","22","20","27","22.75","2500","2498","7","4","0.0016","77.41013","weak"
"C:\Users\ron\Documents\project\images\fig_170.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.3.png","24","20","24","23.0","1228","2224","9","5","0.00407","77.40717","weak"
"C:\Users\ron\Documents\project\images\fig_267.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.8.png","24","18","26","23.0","877","2500","13","3","0.00342","77.34208","weak"
"C:\Users\ron\Documents\project\images\fig_176.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.1.png","20","20","32","23.0","1354","2052","10","4","0.00295","77.29542","weak"
"C:\Users\ron\Documents\project\images\fig_254.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png","22","20","28","23.0","2322","1985","11","5","0.00252","77.25189","weak"
"C:\Users\ron\Documents\project\images\fig_010.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.3.png","20","20","31","22.75","2369","2498","5","0","0.0","77.25","weak"
"C:\Users\ron\Documents\project\images\fig_361h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1965.9.1.png","20","24","27","22.75","2500","2500","5","0","0.0","77.25","weak"
